Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Topological domain	Transmembrane	Subcellular location [CC]	Helix	Turn	Beta strand	RefSeq	BioGRID	STRING	Intramembrane
P0DP24	reviewed	CALM2_HUMAN	Calmodulin-2	CALM2 CAM2 CAMB	Homo sapiens (Human)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:16760425}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:16760425}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules.	HELIX 7..20; /evidence="ECO:0007829|PDB:6SZ5"; HELIX 30..39; /evidence="ECO:0007829|PDB:6SZ5"; HELIX 46..54; /evidence="ECO:0007829|PDB:6SZ5"; HELIX 66..93; /evidence="ECO:0007829|PDB:6SZ5"; HELIX 103..112; /evidence="ECO:0007829|PDB:6SZ5"; HELIX 119..129; /evidence="ECO:0007829|PDB:6SZ5"; HELIX 139..145; /evidence="ECO:0007829|PDB:6SZ5"		STRAND 25..28; /evidence="ECO:0007829|PDB:6SZ5"; STRAND 57..60; /evidence="ECO:0007829|PDB:6PLM"; STRAND 61..65; /evidence="ECO:0007829|PDB:6SZ5"; STRAND 98..101; /evidence="ECO:0007829|PDB:6SZ5"; STRAND 113..115; /evidence="ECO:0007829|PDB:7PPO"; STRAND 131..138; /evidence="ECO:0007829|PDB:6SZ5"	NP_001292553.1;NP_001292554.1;NP_001292555.1;NP_001316851.1;NP_001734.1;NP_005175.2;NP_008819.1;			
P0DP25	reviewed	CALM3_HUMAN	Calmodulin-3	CALM3 CALML2 CAM3 CAMC CAMIII	Homo sapiens (Human)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:16760425}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:16760425}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules.	HELIX 9..20; /evidence="ECO:0007829|PDB:6K67"; HELIX 30..39; /evidence="ECO:0007829|PDB:6K67"; HELIX 46..54; /evidence="ECO:0007829|PDB:6K67"; HELIX 66..76; /evidence="ECO:0007829|PDB:6K67"; HELIX 80..92; /evidence="ECO:0007829|PDB:7BYL"; HELIX 103..112; /evidence="ECO:0007829|PDB:7BYL"; HELIX 119..128; /evidence="ECO:0007829|PDB:7BYL"; HELIX 139..146; /evidence="ECO:0007829|PDB:7BYL"		STRAND 26..28; /evidence="ECO:0007829|PDB:7BYL"; STRAND 61..64; /evidence="ECO:0007829|PDB:6K67"; STRAND 98..102; /evidence="ECO:0007829|PDB:7BYL"; STRAND 113..115; /evidence="ECO:0007829|PDB:7BYL"; STRAND 133..138; /evidence="ECO:0007829|PDB:7BYL"	NP_001316851.1;NP_001316852.1;NP_001316853.1;NP_001316854.1;NP_001316855.1;NP_001734.1;NP_005175.2;NP_008819.1;			
P0DP26	reviewed	CALM1_MOUSE	Calmodulin-1	Calm1 Calm Cam Cam1	Mus musculus (Mouse)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P0DP23}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:P0DP23}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P0DP23}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:29025071}. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules. {ECO:0000250|UniProtKB:P0DP23}.	HELIX 2..4; /evidence="ECO:0007829|PDB:3WFN"; HELIX 7..20; /evidence="ECO:0007829|PDB:7CQP"; HELIX 30..39; /evidence="ECO:0007829|PDB:7CQP"; HELIX 46..56; /evidence="ECO:0007829|PDB:7CQP"; HELIX 66..77; /evidence="ECO:0007829|PDB:7CQP"; HELIX 78..93; /evidence="ECO:0007829|PDB:4HEX"; HELIX 103..112; /evidence="ECO:0007829|PDB:3WFN"; HELIX 119..128; /evidence="ECO:0007829|PDB:3WFN"; HELIX 139..146; /evidence="ECO:0007829|PDB:3WFN"		STRAND 25..28; /evidence="ECO:0007829|PDB:7CQP"; STRAND 61..65; /evidence="ECO:0007829|PDB:7CQP"; STRAND 98..102; /evidence="ECO:0007829|PDB:3WFN"; STRAND 113..115; /evidence="ECO:0007829|PDB:3WFN"; STRAND 131..133; /evidence="ECO:0007829|PDB:4E53"; STRAND 136..138; /evidence="ECO:0007829|PDB:3WFN"	NP_001300863.1;NP_031615.1;NP_031616.1;NP_033920.1;		10090.ENSMUSP00000019514;	
P0DP27	reviewed	CALM2_MOUSE	Calmodulin-2	Calm2 Cam2 CamC	Mus musculus (Mouse)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules. {ECO:0000250}.				NP_031615.1;NP_031616.1;NP_033920.1;			
P0DP28	reviewed	CALM3_MOUSE	Calmodulin-3	Calm3 Cam3 Camc	Mus musculus (Mouse)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules. {ECO:0000250}.				NP_031615.1;NP_031616.1;NP_033920.1;			
P0DP29	reviewed	CALM1_RAT	Calmodulin-1	Calm1 Calm Cam Cam1 CaMI	Rattus norvegicus (Rat)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P0DP23}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:P0DP23}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P0DP23}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:P0DP26}. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules. {ECO:0000250|UniProtKB:P0DP23}.	HELIX 7..19; /evidence="ECO:0007829|PDB:2PQ3"; HELIX 30..32; /evidence="ECO:0007829|PDB:2PQ3"; HELIX 33..39; /evidence="ECO:0007829|PDB:2PQ3"; HELIX 46..56; /evidence="ECO:0007829|PDB:2PQ3"; HELIX 66..76; /evidence="ECO:0007829|PDB:2PQ3"; HELIX 83..91; /evidence="ECO:0007829|PDB:4J9Y"; HELIX 103..110; /evidence="ECO:0007829|PDB:4J9Y"; HELIX 119..129; /evidence="ECO:0007829|PDB:4J9Y"; HELIX 139..147; /evidence="ECO:0007829|PDB:4J9Y"	TURN 79..81; /evidence="ECO:0007829|PDB:3SG7"	STRAND 24..29; /evidence="ECO:0007829|PDB:2PQ3"; STRAND 61..65; /evidence="ECO:0007829|PDB:2PQ3"; STRAND 97..102; /evidence="ECO:0007829|PDB:4J9Y"; STRAND 113..115; /evidence="ECO:0007829|PDB:6MBA"; STRAND 133..138; /evidence="ECO:0007829|PDB:4J9Y"	NP_036650.1;NP_059022.1;NP_114175.1;		10116.ENSRNOP00000022603;	
P0DP30	reviewed	CALM2_RAT	Calmodulin-2	Calm2 Cam2 Camb CaMII	Rattus norvegicus (Rat)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules. {ECO:0000250}.	HELIX 7..20; /evidence="ECO:0007829|PDB:6ALE"; HELIX 30..39; /evidence="ECO:0007829|PDB:6ALE"; HELIX 46..56; /evidence="ECO:0007829|PDB:6ALE"; HELIX 66..74; /evidence="ECO:0007829|PDB:6ALE"; HELIX 83..91; /evidence="ECO:0007829|PDB:6ALE"; HELIX 103..110; /evidence="ECO:0007829|PDB:6ALE"; HELIX 119..129; /evidence="ECO:0007829|PDB:6ALE"; HELIX 139..147; /evidence="ECO:0007829|PDB:6ALE"		STRAND 25..28; /evidence="ECO:0007829|PDB:6ALE"; STRAND 58..65; /evidence="ECO:0007829|PDB:6ALE"; STRAND 97..102; /evidence="ECO:0007829|PDB:6ALE"; STRAND 133..138; /evidence="ECO:0007829|PDB:6ALE"	NP_036650.1;NP_059022.1;NP_114175.1;			
P0DP31	reviewed	CALM3_RAT	Calmodulin-3	Calm3 Cam3 Camc CaMIII	Rattus norvegicus (Rat)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules. {ECO:0000250}.	HELIX 30..39; /evidence="ECO:0007829|PDB:4I2Y"; HELIX 46..56; /evidence="ECO:0007829|PDB:4I2Y"; HELIX 66..73; /evidence="ECO:0007829|PDB:4I2Y"; HELIX 79..93; /evidence="ECO:0007829|PDB:4I2Y"; HELIX 103..113; /evidence="ECO:0007829|PDB:4I2Y"; HELIX 119..129; /evidence="ECO:0007829|PDB:4I2Y"; HELIX 139..145; /evidence="ECO:0007829|PDB:4I2Y"		STRAND 25..28; /evidence="ECO:0007829|PDB:4I2Y"; STRAND 98..101; /evidence="ECO:0007829|PDB:4I2Y"; STRAND 134..138; /evidence="ECO:0007829|PDB:4I2Y"	NP_036650.1;NP_059022.1;NP_114175.1;			
P10686	reviewed	PLCG1_RAT	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)	Plcg1	Rattus norvegicus (Rat)	1290				SUBCELLULAR LOCATION: Cell projection, lamellipodium {ECO:0000250|UniProtKB:P19174}. Cell projection, ruffle {ECO:0000250|UniProtKB:P19174}. Note=Rapidly redistributed to ruffles and lamellipodia structures in response to epidermal growth factor (EGF) treatment. {ECO:0000250|UniProtKB:P19174}.	HELIX 20..29; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 75..77; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 88..92; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 97..99; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 129..146; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 149..161; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 175..183; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 210..223; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 251..260; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 265..268; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 270..281; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 295..302; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 305..307; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 312..315; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 319..322; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 326..328; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 350..358; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 390..400; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 419..433; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 434..436; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 453..455; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 556..558; /evidence="ECO:0007829|PDB:3GQI"; HELIX 559..576; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 615..617; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 632..639; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 665..668; /evidence="ECO:0007829|PDB:4K45"; HELIX 675..682; /evidence="ECO:0007829|PDB:4K45"; HELIX 734..743; /evidence="ECO:0007829|PDB:4K45"; HELIX 758..762; /evidence="ECO:0007829|PDB:4K45"; HELIX 843..845; /evidence="ECO:0007829|PDB:1Y0M"; HELIX 852..854; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 869..871; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 878..880; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 916..931; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 951..954; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 967..969; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 985..989; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 997..1006; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 1026..1029; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 1045..1053; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 1067..1070; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 1079..1082; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 1120..1122; /evidence="ECO:0007829|PDB:7Z3J"; HELIX 1180..1182; /evidence="ECO:0007829|PDB:7Z3J"	TURN 55..58; /evidence="ECO:0007829|PDB:7Z3J"; TURN 103..105; /evidence="ECO:0007829|PDB:7Z3J"; TURN 166..168; /evidence="ECO:0007829|PDB:7Z3J"; TURN 224..227; /evidence="ECO:0007829|PDB:7Z3J"; TURN 285..288; /evidence="ECO:0007829|PDB:7Z3J"; TURN 343..345; /evidence="ECO:0007829|PDB:7Z3J"; TURN 500..502; /evidence="ECO:0007829|PDB:7Z3J"; TURN 763..765; /evidence="ECO:0007829|PDB:7Z3J"; TURN 994..996; /evidence="ECO:0007829|PDB:7Z3J"; TURN 1030..1032; /evidence="ECO:0007829|PDB:7Z3J"; TURN 1054..1058; /evidence="ECO:0007829|PDB:7Z3J"	STRAND 33..38; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 42..44; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 47..54; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 59..63; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 69..74; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 78..85; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 106..111; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 113..116; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 118..123; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 169..172; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 308..310; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 329..336; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 339..341; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 363..369; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 377..379; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 409..415; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 459..462; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 490..498; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 505..512; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 514..522; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 551..553; /evidence="ECO:0007829|PDB:3GQI"; STRAND 583..587; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 589..591; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 595..601; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 604..613; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 620..623; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 628..631; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 644..646; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 649..651; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 669..672; /evidence="ECO:0007829|PDB:4K45"; STRAND 690..695; /evidence="ECO:0007829|PDB:4K45"; STRAND 701..708; /evidence="ECO:0007829|PDB:4K45"; STRAND 711..720; /evidence="ECO:0007829|PDB:4K45"; STRAND 723..726; /evidence="ECO:0007829|PDB:4K45"; STRAND 729..733; /evidence="ECO:0007829|PDB:4K45"; STRAND 796..800; /evidence="ECO:0007829|PDB:1Y0M"; STRAND 817..822; /evidence="ECO:0007829|PDB:1Y0M"; STRAND 825..833; /evidence="ECO:0007829|PDB:1Y0M"; STRAND 836..842; /evidence="ECO:0007829|PDB:1Y0M"; STRAND 846..848; /evidence="ECO:0007829|PDB:1Y0M"; STRAND 860..862; /evidence="ECO:0007829|PDB:2FJL"; STRAND 872..877; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 882..886; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 890..892; /evidence="ECO:0007829|PDB:2FJL"; STRAND 893..900; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 904..906; /evidence="ECO:0007829|PDB:2FJL"; STRAND 908..912; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 979..984; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1009..1012; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1034..1038; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1061..1064; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1071..1073; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1088..1099; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1103..1106; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1110..1119; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1124..1127; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1132..1137; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1145..1150; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1154..1164; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1170..1179; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1186..1193; /evidence="ECO:0007829|PDB:7Z3J"; STRAND 1199..1213; /evidence="ECO:0007829|PDB:7Z3J"	NP_037319.1;	247766;	10116.ENSRNOP00000022276;	
P10688	reviewed	PLCD1_RAT	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)	Plcd1	Rattus norvegicus (Rat)	756					HELIX 17..24; /evidence="ECO:0007829|PDB:1MAI"; HELIX 69..71; /evidence="ECO:0007829|PDB:1MAI"; HELIX 82..87; /evidence="ECO:0007829|PDB:1MAI"; HELIX 93..95; /evidence="ECO:0007829|PDB:1MAI"; HELIX 115..129; /evidence="ECO:0007829|PDB:1MAI"; HELIX 162..170; /evidence="ECO:0007829|PDB:1DJX"; HELIX 178..180; /evidence="ECO:0007829|PDB:1DJX"; HELIX 181..188; /evidence="ECO:0007829|PDB:1DJX"; HELIX 203..208; /evidence="ECO:0007829|PDB:1DJX"; HELIX 212..222; /evidence="ECO:0007829|PDB:1DJX"; HELIX 230..239; /evidence="ECO:0007829|PDB:1DJX"; HELIX 248..258; /evidence="ECO:0007829|PDB:1DJX"; HELIX 262..266; /evidence="ECO:0007829|PDB:1DJX"; HELIX 272..280; /evidence="ECO:0007829|PDB:1DJX"; HELIX 289..292; /evidence="ECO:0007829|PDB:1DJX"; HELIX 302..304; /evidence="ECO:0007829|PDB:1DJX"; HELIX 326..334; /evidence="ECO:0007829|PDB:1DJX"; HELIX 348..350; /evidence="ECO:0007829|PDB:1DJX"; HELIX 366..376; /evidence="ECO:0007829|PDB:1DJX"; HELIX 395..409; /evidence="ECO:0007829|PDB:1DJX"; HELIX 410..412; /evidence="ECO:0007829|PDB:1DJX"; HELIX 490..493; /evidence="ECO:0007829|PDB:1DJX"; HELIX 525..545; /evidence="ECO:0007829|PDB:1DJX"; HELIX 565..568; /evidence="ECO:0007829|PDB:1DJX"; HELIX 584..594; /evidence="ECO:0007829|PDB:1DJX"; HELIX 596..598; /evidence="ECO:0007829|PDB:1DJX"; HELIX 606..609; /evidence="ECO:0007829|PDB:1DJX"; HELIX 644..646; /evidence="ECO:0007829|PDB:1QAT"; HELIX 664..666; /evidence="ECO:0007829|PDB:1DJX"; HELIX 695..697; /evidence="ECO:0007829|PDB:1DJX"; HELIX 723..725; /evidence="ECO:0007829|PDB:1DJX"	TURN 62..65; /evidence="ECO:0007829|PDB:1MAI"; TURN 171..173; /evidence="ECO:0007829|PDB:1DJX"; TURN 282..284; /evidence="ECO:0007829|PDB:1DJX"; TURN 357..360; /evidence="ECO:0007829|PDB:1DJY"; TURN 377..379; /evidence="ECO:0007829|PDB:1DJX"; TURN 428..433; /evidence="ECO:0007829|PDB:1DJX"; TURN 569..571; /evidence="ECO:0007829|PDB:1DJX"	STRAND 26..35; /evidence="ECO:0007829|PDB:1MAI"; STRAND 37..44; /evidence="ECO:0007829|PDB:1MAI"; STRAND 48..53; /evidence="ECO:0007829|PDB:1MAI"; STRAND 66..68; /evidence="ECO:0007829|PDB:1MAI"; STRAND 72..79; /evidence="ECO:0007829|PDB:1MAI"; STRAND 96..104; /evidence="ECO:0007829|PDB:1MAI"; STRAND 108..111; /evidence="ECO:0007829|PDB:1MAI"; STRAND 159..161; /evidence="ECO:0007829|PDB:1DJX"; STRAND 190..197; /evidence="ECO:0007829|PDB:1DJX"; STRAND 225..229; /evidence="ECO:0007829|PDB:1DJX"; STRAND 285..287; /evidence="ECO:0007829|PDB:1DJX"; STRAND 305..307; /evidence="ECO:0007829|PDB:1DJX"; STRAND 309..312; /evidence="ECO:0007829|PDB:1DJX"; STRAND 315..317; /evidence="ECO:0007829|PDB:1DJX"; STRAND 319..321; /evidence="ECO:0007829|PDB:1DJX"; STRAND 339..345; /evidence="ECO:0007829|PDB:1DJX"; STRAND 353..355; /evidence="ECO:0007829|PDB:1QAS"; STRAND 385..392; /evidence="ECO:0007829|PDB:1DJX"; STRAND 435..439; /evidence="ECO:0007829|PDB:1DJX"; STRAND 496..502; /evidence="ECO:0007829|PDB:1DJX"; STRAND 509..514; /evidence="ECO:0007829|PDB:1DJX"; STRAND 519..524; /evidence="ECO:0007829|PDB:1DJX"; STRAND 548..551; /evidence="ECO:0007829|PDB:1DJX"; STRAND 574..577; /evidence="ECO:0007829|PDB:1DJX"; STRAND 600..603; /evidence="ECO:0007829|PDB:1DJX"; STRAND 629..640; /evidence="ECO:0007829|PDB:1DJX"; STRAND 648..650; /evidence="ECO:0007829|PDB:1DJX"; STRAND 654..663; /evidence="ECO:0007829|PDB:1DJX"; STRAND 668..671; /evidence="ECO:0007829|PDB:1DJX"; STRAND 679..681; /evidence="ECO:0007829|PDB:1DJX"; STRAND 683..693; /evidence="ECO:0007829|PDB:1DJX"; STRAND 699..706; /evidence="ECO:0007829|PDB:1DJX"; STRAND 709..711; /evidence="ECO:0007829|PDB:1DJX"; STRAND 714..722; /evidence="ECO:0007829|PDB:1DJX"; STRAND 729..736; /evidence="ECO:0007829|PDB:1DJX"; STRAND 742..755; /evidence="ECO:0007829|PDB:1DJX"	NP_058731.1;	246790;	10116.ENSRNOP00000042824;	
P10916	reviewed	MLRV_HUMAN	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (MLC-2) (MLC-2v) (Cardiac myosin light chain 2) (Myosin light chain 2, slow skeletal/ventricular muscle isoform) (MLC-2s/v) (Ventricular myosin light chain 2)	MYL2 MLC2	Homo sapiens (Human)	166	TISSUE SPECIFICITY: Highly expressed in type I muscle fibers. {ECO:0000269|PubMed:23365102, ECO:0000269|PubMed:32453731}.			SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, A band {ECO:0000250|UniProtKB:P08733}.				NP_000423.2;	110717;	9606.ENSP00000228841;	
P12658	reviewed	CALB1_MOUSE	Calbindin (Calbindin D28) (D-28K) (PCD-29) (Spot 35 protein) (Vitamin D-dependent calcium-binding protein, avian-type)	Calb1	Mus musculus (Mouse)	261	TISSUE SPECIFICITY: Expressed in the modiolar nerve root and in bushy neurons in the ventral cochlear nucleus (at protein level). {ECO:0000269|PubMed:17977745}.							NP_033918.1;	198449;	10090.ENSMUSP00000029876;	
P12814	reviewed	ACTN1_HUMAN	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	ACTN1	Homo sapiens (Human)	892				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:24069336, ECO:0000269|PubMed:7750553}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:7750553}. Cell membrane {ECO:0000250|UniProtKB:Q9Z1P2}. Cell junction {ECO:0000250|UniProtKB:Q9Z1P2}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q7TPR4}. Note=Colocalizes with MYOZ2 and PPP3CA at the Z-line of heart and skeletal muscle. Colocalizes with PSD in membrane ruffles and central reticular structures. {ECO:0000250|UniProtKB:Q7TPR4}.	HELIX 30..45; /evidence="ECO:0007829|PDB:2EYI"; HELIX 46..48; /evidence="ECO:0007829|PDB:2EYI"; HELIX 63..73; /evidence="ECO:0007829|PDB:2EYI"; HELIX 86..102; /evidence="ECO:0007829|PDB:2EYI"; HELIX 112..116; /evidence="ECO:0007829|PDB:2EYI"; HELIX 120..135; /evidence="ECO:0007829|PDB:2EYI"; HELIX 146..158; /evidence="ECO:0007829|PDB:2EYI"; HELIX 171..173; /evidence="ECO:0007829|PDB:2EYI"; HELIX 177..186; /evidence="ECO:0007829|PDB:2EYI"; HELIX 188..190; /evidence="ECO:0007829|PDB:2EYI"; HELIX 193..195; /evidence="ECO:0007829|PDB:2EYI"; HELIX 201..215; /evidence="ECO:0007829|PDB:2EYI"; HELIX 224..229; /evidence="ECO:0007829|PDB:2EYI"; HELIX 235..249; /evidence="ECO:0007829|PDB:2EYI"; HELIX 745..751; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 754..757; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 768..774; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 775..778; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 788..798; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 809..816; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 818..820; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 826..830; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 832..837; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 845..851; /evidence="ECO:0007829|PDB:2N8Y"; HELIX 855..863; /evidence="ECO:0007829|PDB:2N8Y"	TURN 55..61; /evidence="ECO:0007829|PDB:2EYI"; TURN 136..138; /evidence="ECO:0007829|PDB:2EYI"; TURN 884..888; /evidence="ECO:0007829|PDB:2N8Y"	STRAND 168..170; /evidence="ECO:0007829|PDB:2EYI"; STRAND 230..232; /evidence="ECO:0007829|PDB:2EYI"; STRAND 763..766; /evidence="ECO:0007829|PDB:2N8Y"; STRAND 803..807; /evidence="ECO:0007829|PDB:2N8Y"; STRAND 841..844; /evidence="ECO:0007829|PDB:2N8Y"; STRAND 864..867; /evidence="ECO:0007829|PDB:2N8Y"; STRAND 869..872; /evidence="ECO:0007829|PDB:2N8Y"; STRAND 876..881; /evidence="ECO:0007829|PDB:2N8Y"	NP_001093.1 [P12814-1];NP_001123476.1 [P12814-3];NP_001123477.1 [P12814-2];	106602;	9606.ENSP00000377941;	
